PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,AQI
12,30,18,6,0.4,20,24,70,38
18,42,22,8,0.5,25,25,68,46
25,55,28,10,0.6,30,26,65,72
32,65,35,12,0.7,35,27,63,88
38,75,42,14,0.8,40,28,60,104
45,85,48,16,0.9,45,29,58,118
52,95,55,18,1.0,50,30,56,135
60,110,60,20,1.1,55,31,54,155
68,125,68,22,1.2,60,32,52,175
75,140,75,24,1.3,65,33,50,195
82,155,82,26,1.4,70,34,48,215
90,170,90,28,1.5,75,35,46,235
98,185,98,30,1.6,80,36,44,255
105,200,105,32,1.7,85,37,42,275
115,215,115,34,1.8,90,38,40,295
125,230,125,36,1.9,95,39,38,315
135,250,135,38,2.0,100,40,36,335
145,270,145,40,2.1,105,41,34,355
155,290,155,42,2.2,110,42,32,375
165,310,165,44,2.3,115,43,30,395
175,330,175,46,2.4,120,44,28,415
185,350,185,48,2.5,125,45,26,435
195,370,195,50,2.6,130,46,25,455
205,390,205,52,2.7,135,47,24,475
215,410,215,54,2.8,140,48,23,495
225,430,225,56,2.9,145,49,22,505
235,450,235,58,3.0,150,50,21,520
245,470,245,60,3.1,155,51,20,535
255,490,255,62,3.2,160,52,19,550
265,510,265,64,3.3,165,53,18,565
275,530,275,66,3.4,170,54,17,580
285,550,285,68,3.5,175,55,16,595
295,570,295,70,3.6,180,56,15,610
305,590,305,72,3.7,185,57,14,625
315,610,315,74,3.8,190,58,13,640
325,630,325,76,3.9,195,59,12,655
335,650,335,78,4.0,200,60,11,670
345,670,345,80,4.1,205,61,10,685
355,690,355,82,4.2,210,62,9,700
365,710,365,84,4.3,215,63,8,715
